question,coarse,fine
Who does Glenister fall in love with on the ship?,HUM,ind
Who is Glenister in love with?,HUM,ind
Who is Lord Montreville's son?,HUM,ind
Who was the agent who assassinated Wombosi?,HUM,ind
What is the name of the lunar shuttle in this story?,ENTY,other
Where did the Mayflower One launch from?,LOC,other
How is James killed?,DESC,manner
What is Esther's real name?,HUM,ind
What is Esther's real name?,HUM,ind
Which of the Bielski brothers sought recognition for their actions?,HUM,ind
"After Tuvia, Zus, and Aron emigrate to New York City, what business do they start?",HUM,title
Who is the heroine?,HUM,ind
What was the name of the contract Thorne was working on?,HUM,ind
Who does Grimm fall in love with?,HUM,ind
Worms are considered terrestrial animals but in reality they are?,ENTY,animal
When worms excavate burrows they sometimes consume the material but would rather?,DESC,desc
Who is the LAPD Lieutenant investigating McCauley and his crew?,HUM,ind
What is the stranger only known by?,HUM,ind
Who is the main character in the story?,HUM,ind
Who was Charles accused of murdering?,HUM,ind
Which part of the body does Roman shoot Sidney?,ENTY,body
HOW WAS HENRIQUES MURDERED?,DESC,manner
What does Laputa destroy prior to committing suicide?,ENTY,other
Who hired Bobby Ray Lemon?,HUM,ind
"What did ""The Swede"" promise to bring to Sparazza?",ENTY,other
Who was the FBI agent negotiating with Israel's lawyer for immunity?,HUM,ind
What was the Swedes actual profession?,HUM,title
What is the Swedes' real profession?,HUM,title
How old is John Gadsby?,HUM,period
What is John Gadsby's hometown?,LOC,city
Where did the story take place?,LOC,other
How long is Sonny's prison sentence?,NUM,period
What does Philip use as an excuse to invade England?,DESC,desc
What are Debbie's employees names?,HUM,ind
Who is in exile in Switzerland?,HUM,ind
Why does Bernard Langdon take time away from his studies?,DESC,reason
What animal does Elsie help protect Langdon from?,ENTY,animal
Who is Ku-Klip?,HUM,desc
Kurtz praises what group for their dedication and ruthlessness?,HUM,gr
The Montagnards kill what wild animal in a ceremonial slaughter?,ENTY,animal
Who watched what went on in the neighborhood from her home?,HUM,ind
Who was the famous explorer that Carl idolized?,HUM,ind
"What part of the mind does Wells find ""submissive""?",ENTY,body
What did Tristram's father originally want to name his son?,HUM,ind
What is Beverly Weston's profession?,HUM,title
Who inquired after Yorick's passport?,HUM,ind
Who is Blanks high school sweetheart?,HUM,ind
Who kidnaps Dorothy Vaneman?,HUM,ind
"Who is an antagonist opposing Dick Seaton, the protagonist of Skylark of Space?",HUM,ind
"Who kidnap Dick Seaton's fiancee, Dorothy Vaneman?",HUM,ind
What is the name of prince whose faction rebuild Skylark into Skylark Two?,HUM,ind
At the end of the story where does the Skylark land?,LOC,other
When does the simulation take place?,NUM,date
What caused the war between humans and magical creatures?,DESC,reason
Where is the first piece of the crown found?,LOC,other
How many pieces was the magical crown broken into?,NUM,count
How does Hobbes Mistress die?,DESC,manner
Who does Hobbes first infest with the parasite?,HUM,ind
"At the end of the story, where do Carter and Lee go?",LOC,other
Where does Carl meet Allison?,LOC,other
What did the sign in the store read?,ENTY,word
Where are the children playing when they find the sand fairy?,LOC,other
Who is the Prince marrying?,HUM,ind
Who does Barry hire to steal antique shotguns?,HUM,ind
What judgement does Christ give the righteous?,DESC,desc
What does it take to get to the Bosom of Abraham?,DESC,desc
What is the reward for the just?,DESC,desc
Who seduces William?,HUM,ind
Who is the ruler of the sanctuary?,HUM,ind
Where is Lambert Strether from?,LOC,other
What does Sarah condemn Marie as?,HUM,title
Who was  Little Bilham?,HUM,desc
Where does Landon take Jamie on their first date?,LOC,other
"In the end, where does Cobb reunite with his children?",LOC,other
In how many days did the alien plan to rendezvous with his people?,NUM,count
Where does Joe Buck travel to at the beginning of the story?,LOC,other
What outfit does Joe Buck purchase for his trip to New York City?,ENTY,product
"In the beginning of the story, who dies?",HUM,ind
Who is Sheldon Mopes's agent?,HUM,ind
Who was the oldest among the orphans?,HUM,ind
Who is the protagonist of the story?,HUM,ind
"What crashes into Flash Gordon's plane, killing the pilots?",ENTY,other
What did the man who was hanging below a bridge and was rescued by Anton spit out when brought back to life?,ENTY,other
Where did Jerry and Michael reunite after being separated for a second time?,LOC,other
Who is the Minister of International Development?,HUM,ind
How many men do Arcite and Palamon each gather?,NUM,count
Who never liked Dr. Fox?,HUM,ind
What does Flan do for a living?,HUM,title
Who was Bella Swan boyfriend?,HUM,ind
Who was Alice?,HUM,desc
Who squeezed out the middle class by bankrupting small businesses?,HUM,ind
Who was the mercenaries really under the employ of?,HUM,ind
Who makes the Lens?,HUM,ind
Who is the only witness that can clear Fred of the embezzlement charges?,HUM,ind
Who does Tom want to have access to his patents?,HUM,ind
What happens to Tom's airship?,DESC,desc
Who are the twins on Board?,HUM,ind
Which spaceship is damaged by solar flare?,ENTY,veh
What is this submarine disguised as?,ENTY,veh
Where is Durban?,LOC,other
Who was Buck's very first owner in the story?,HUM,ind
Who does Arabella Trefoil agree to marry after John Morton dies?,HUM,ind
Who does Arabella marry after John Morton dies?,HUM,ind
Who is The American Senator?,HUM,ind
What type of weapons do the Fremen warriors have?,ENTY,other
Who controls the spice industry?,HUM,ind
How old is Chris Hughes?,NUM,period
What do the kids turn the dragon Malificent into?,ENTY,other
What does Dopey's son Doug encourage Evie to do regarding her wish to impress Chad?,DESC,desc
Who gave the tour in the third part that Wells describes?,HUM,ind
Why did the Auks fight during the Migration Period?,DESC,reason
Which historical saint visits the island?,HUM,ind
About how many souls does Chichikov purchase the rights to?,NUM,count
What happened to Eyolf?,HUM,desc
What type of interrogating practice was occurring when highway patrol troopers raided the DHS compound?,ENTY,event
Who is the Italian secretary?,HUM,ind
Who rescues Sophia from drowning?,HUM,ind
"What opaque, spherical shield does Richard Seaton try to master?",ENTY,other
Who does Seaton presume is dead near the end?,HUM,ind
Where did Mandela spend his first 18 years in prison?,LOC,other
What century is the story set in?,NUM,period
"What does Cassius Clay, Jr. change his name to?",HUM,ind
Who does Santa Claus bring home with him to the North Pole?,HUM,ind
What happened to the Tangier's profits after Sam arrived?,DESC,desc
How does Ginger die?,DESC,desc
"At the end of the story, who is in charge of the casinos?",HUM,ind
Who does Harley feed in collateration for his pocket watch?,HUM,ind
How old is the man Emilie marries?,HUM,period
What concert does Lester Bangs want William to review?,ENTY,event
Ojo is known as the very unlucky at the beginning of the story - how is he known at the end of his adventure?,HUM,desc
What is Ojo renamed?,HUM,ind
What is Ojo renamed?,HUM,ind
Who owns the store?,HUM,ind
What is Anna dying of?,ENTY,dismed
The search for Laura Newton takes the team to a bar where girls are recruited for what?,HUM,title
"Where does Scott find a transmitter, at the airport?",LOC,other
Where do Scott and Laura go after they flee the rescue?,LOC,other
What city does Nick Conklin serve as a police officer?,LOC,city
"When Morpheus offers Neo a choice between the red pill and the blue pill, which one does he choose?",ENTY,color
What does Seymour lend Enid for her art class?,ENTY,other
Who hires Ford Fairlane to track down Zuzu Petals?,HUM,ind
Who is Jazz to Ford?,HUM,title
Who hires Ford Fairlane?,HUM,ind
Who convinces Utopia to defy her father and steal the remote?,HUM,ind
How does Snake get to the city?,DESC,manner
What is the name of the village?,LOC,city
Who calls Bartley to Canada to inspect the bridge?,HUM,ind
Who is The Lizard?,HUM,desc
What award does Tugg win for Tropic Blunder?,ENTY,other
Who is the comedian that has a drug problem?,HUM,ind
Who is the Trade Federation's secret advisor?,HUM,ind
Who does Qui-Gon save from being killed on Naboo?,HUM,ind
What ethnicity is Jody?,HUM,title
Who sustained the rib injuries and internal bleeding?,HUM,ind
How many rounds did the fight last?,NUM,count
When was Rocky's coach a champion?,NUM,date
Who was coming for tea when the story opens?,HUM,ind
Where were 'colored' people prohibited from in Pleasantville?,LOC,other
What is the name of the television show that David watches all the time?,ENTY,cremat
What is the name of the family that is the main focus in the Pleasantville television show?,HUM,ind
Where does Mr. Johnson work?,LOC,other
How does Vesta die?,DESC,manner
How does Vesta die?,DESC,manner
What did Anne accidentally do to her hair?,DESC,desc
How do Harold and Kamur get to White Castle?,DESC,manner
What kind of show did Littlewit come up with?,ENTY,cremat
Who vomits and calls for her husband?,HUM,ind
Where does Holly finally give herself up to police?,LOC,other
On whose credit card does Fletch charge his vacation with Gail to Rio?,HUM,ind
Whose tab does Fletch use to treat Gail to lunch in her private cabana?,HUM,ind
"After the trout spits out Jeremy, what is the one thing he swallows?",ENTY,other
How many minnows does Jeremy Fisher hope to catch?,NUM,count
What is the full name of the frog?,ENTY,animal
What sort of sandwich does Jeremy Fisher eat while fishing?,ENTY,food
What is Amy's profession?,HUM,titile
What is the Cavendish estate in England Essex County known as?,LOC,other
Who is the older brother?,HUM,ind
Who is Don Jamie's older brother?,HUM,ind
Who is the mole?,HUM,ind
What do Dane and Kazan silently agree to?,DESC,desc
What does Simon steal from Ivan Tretiak?,ENTY,product
Who saw Simon steal the chip?,HUM,ind
Who does Simon disguise himself as before meeting Emma?,HUM,ind
Who was Jocelyn going to be forced to marry?,HUM,ind
Who takes the role of Romeo in the play?,HUM,ind
What animal does Gandalf ride on to save the hobbits?,ENTY,animal
What is Ethan's job at the beginning of the story?,HUM,title
Who is Cynthia's father?,HUM,ind
What was the spiritual manifestation of Jimmy's tortured spirit?,DESC,desc
Who is Meg?,HUM,desc
Who are the drouthy people that meet?,HUM,desc
Where were the warlocks?,LOC,other
Who does Robert call to drive him home after the car accident?,HUM,ind
Who is Scott Pilgrim dating?,HUM,ind
What instrument does Scott Pilgrim play?,ENTY,instru
Who is Scott dating when he dreams of Ramona?,HUM,ind
Why does Scott challenge Gideon the second time?,DESC,reason
How does Hermann's father feel towards his decision about Dorothea?,DESC,
Why is Hermann's father opposed to Hermann marrying Dorothea?,DESC,reason
Which river did the refugees cross to find safety?,LOC,other
What kind of tribe does Rene join?,HUM,gr
That girl that Smith falls in love with looks how old?,NUM,period
"After getting out of the roots at the start of the story, what does Smith see that inspires him to go for help?",LOC,other
Where does the story take place?,LOC,city
What city does this story take place in?,LOC,city
With whom does George fall in love?,HUM,ind
How long does Columbus tell the crew that the voyage will last?,NUM,period
Who does Daisy work for?,HUM,ind
What is Randall Pelzer's profession?,HUM,title
Who does Aunt Polly marry at end of the story?,HUM,ind
In what room must Pollyanna eat bread and milk when Aunt Polly punishes her?,LOC,other
Who killed Guido's father?,HUM,ind
What powers the Jet Car?,ENTY,substance
Who did Zed find in the hotel room when he arrived?,HUM,desc
On what day will the heist take place?,NUM,date
What type of game does Roy play with a group of sailors on the train?,ENTY,sport
Whose neck was slashed by glass at the end?,HUM,ind
Who is Roy's girlfriend?,HUM,ind
Who has Lilly been stealing from over the years?,HUM,ind
"In 9's flashback, what are he and 5 searching?",LOC,other
What do the Marauders kill the Ex-Main force patrol officer's dog with?,ENTY,other
How many men know the truth about Treadstone Seventy-One?,NUM,count
Which group causes Carlos to retreat?,HUM,gr
Where is the piece of evidence containing the clue to Bourne's identity found after his rescue from the sea?,LOC,other
How is Pugachev killed?,DESC,manner
What is Ordell's former cell mate name?,HUM,ind
What is the name of the bail bondsman?,HUM,ind
What does Furtwangler do on Hitler's birthday?,DESC,desc
Who is Marshall?,HUM,desc
What is the young couple doing when Brooks murders them?,ENTY,event
Who is the real culprit behind the virus outbreak?,HUM,ind
Who is the messenger who visits Queen Hecuba?,HUM,ind
Who arrives to tell Hecuba what will happen to her and her children?,HUM,ind
Who takes care of Flora?,HUM,ind
Who was put in charge of both Miles and Flora?,HUM,ind
What is the name of the housekeeper that was there before the governess?,HUM,ind
Where did Maurice meet Mr. Dengate?,LOC,other
How much money does Maurice Hilliard make a year?,NUM,money
How much does Hilliard make per year?,NUM,money
How much money does Hilliard extort from Dengate?,NUM,money
Who seduces Emily?,HUM,ind
How did Steepforth die?,DESC,manner
Who had the better job between John and Jenny?,HUM,ind
On whose name is Marley named after?,HUM,ind
What does the beautiful blonde appear to say to Curt while at the stoplight?,DESC,desc
Who is supposed to become Benham's father-in-law?,HUM,ind
What is Fred Nelville's rank in the calvary?,HUM,title
Who does Kate live with in genteel poverty?,HUM,ind
Who is McTeague?,HUM,title
Who teaches Tommy the language of animals?,HUM,ind
Who teaches Timmy the animal language?,HUM,ind
Who teaches Tommy the language of the animals?,HUM,ind
How is Chee-Chee disguised when he comes from Africa?,DESC,manner
Which creatures help Tommy to reach Spider Monkey Island and the crew?,ENTY,animal
What does Gregory's believe is the foundation of poetry?,DESC,desc
Where did Gregory meet Syme?,LOC,other
What is the name of the schoolcouncilor?,HUM,ind
How does Mark die?,DESC,manner
How does Rachel die?,DESC,manner
What did the Jewish man invite Reb Groshkover in his house for?,DESC,desc
Who is the only family member to take the ghost seriously?,HUM,ind
"Who tells Mrs. Otis that the blood stains, in the sitting room, are evidence of a ghost?",HUM,ind
What does the mouse get tied up in?,ENTY,other
What did Tocqueville believe was unhealthy between democrats and the religious in France?,DESC,desc
After what year did Tocqueville's US views take a darker turn?,NUM,date
What else in included in this treatise that is supposed to be about princedoms?,DESC,desc
Who did Katrina marry?,HUM,ind
In what settlement does the story take place?,LOC,other
Who choses Charles' wife?,HUM,ind
Who does Jake lose his title to?,HUM,ind
What voting margin did the Thirteenth Amendment pass by?,NUM,count
Who else does Jack talk to while on the phone with Jani?,HUM,ind
What was the occupation of Madeleine Lee's Father?,HUM,title
What is Jacobi's relationship to Ratcliff?,HUM,title
The name Crusoe was formerly what name?,HUM,ind
Who studied magic?,HUM,ind
Which crew member has studied magic?,HUM,ind
What kind of animal is Timmy Tip Toes?,ENTY,animal
What do authorities do once they capture Jason?,DESC,desc
What profession is Emily's father?,HUM,title
What town does the character work and live?,LOC,other
What is the name of the biker gang giving the main characters a problem?,HUM,gr
In which state does the adventure of the Wild Hogs conclude?,LOC,state
Where does Woody convince his friend to ride to?,LOC,city
Who does Blade say Jack takes after?,HUM,ind
What date repeats itself?,NUM,date
What street in NY do Yank and Long go to?,LOC,other
Who becomes an alcoholic besides Coupeau?,HUM,ind
Who uses the analogy that the body is a vessel?,HUM,ind
Who said that the fear of death is a perception of terror?,HUM,ind
Who put for the symmetry argument?,HUM,ind
Who identifies the supernatural with deities?,HUM,ind
"What does MacReady, Gary, and Nauls intend to destroy the complex with?",ENTY,substance
In what town was Denry when he came up with the business idea of offering tours of a local shipwreck?,LOC,city
What part of the body does Charley stab Jerry in?,ENTY,body
Who is downtrodden servant of the family?,HUM,ind
What job does Eugene Kittridge have in the IMF?,HUM,title
Who told Macreedy that Komoko is dead?,HUM,ind
Who does Macreedy give the metal to before leaving town?,HUM,ind
Where did Macreedy lose his left arm?,LOC,other
Where is the Big Ben clock located?,LOC,city
Who is the protagonist of the story?,HUM,ind
Who is the anti-hero who attempts to give the others time to escape?,HUM,ind
Who brings the crystal skull to the alien skeleton in the temple?,HUM,ind
The soviets believe the skull will give them advantage in what type of warfare?,ENTY,techmeth
In what city is Del a police officer?,LOC,city
Who was holding Calvin captive?,HUM,ind
What is the name of the village where Serge Mouret becomes parish priest?,LOC,other
What is Serge suffering from when he wakes up?,ENTY,dismed
Who is Serge's friend at La Paradou?,HUM,ind
Whose throat does Fred Madison cut?,HUM,ind
Who iis actually Dick Laurent?,HUM,ind
Who is Anna Lovel engaged to?,HUM,ind
Who does Lady Lovel try to kill?,HUM,ind
Who does Anna Lovel marry?,HUM,ind
How many children did William Ashe and his wife have?,NUM,count
Who courts Rhoda in the story?,HUM,ind
Which man tried to drown himself?,HUM,ind
What port to the 3 beggers operate in?,LOC,city
What is Herrick's faith?,ENTY,religion
Which of the 3 beggars operating out of the Tahitian port of Papeete was once a failed English businessman?,HUM,ind
When is the case reopened?,NUM,date
When does Clay Shaw's trial take place?,NUM,date
What is stolen to stabalize the Tesseract?,ENTY,substance
Whose prosecution does Stevens prevent?,HUM,ind
Who destroys the crosses?,HUM,ind
Who is the leader of the revolutionaries?,HUM,ind
With whom does Savrola flee?,HUM,ind
What is Eugene's occupation?,HUM,title
Who murders Carl with a fireplace poker?,HUM,ind
Who orders the building's power to be turned off?,HUM,ind
What does Henry sell in prison in order to support his family?,ENTY,substance
What does Karen flush down the toilet to hide from the FBI?,ENTY,substance
Who kills Benny?,HUM,ind
Who pulled off the perfect con?,HUM,ind
Who is Wolfe's cousin?,HUM,ind
Who reads about Hugh's incarceration in the papers?,HUM,ind
Who follows Pamela to London?,HUM,ind
Which character followed the legend of the treasure?,HUM,ind
Who comes to Cleremont's aid during the morning duel?,HUM,ind
Who tells Ripley that she is the only survivor?,HUM,ind
Who helps Barton cover up a death?,HUM,ind
"Who does Barton confess to, that he and Audrey had sex?",HUM,ind
Who does Barton meet late at night?,HUM,ind
Who does Barton call to dispose of Audrey's body?,HUM,ind
What disease did Mark have?,ENTY,dismed
Who dissuades Countess Ellen from divorcing her husband?,HUM,ind
Who does Newland go to Paris with at the end of the story?,HUM,ind
Who starts the story off with a prologue?,HUM,ind
Who is sleeping with Amphiltryon's wife?,HUM,ind
Who is Amphiltryon's wife?,HUM,ind
Whose job is it to protect their father by lying?,HUM,ind
Who is Mercury's father?,HUM,ind
Who changes their appearance to look like a slave?,HUM,ind
Who fights Sosia?,HUM,ind
Who does George want to help him build his house?,HUM,ind
How many new colonies is the hive divided into?,NUM,count
What kind of insect is Maya?,ENTY,animal
King Edward demands how many citizens should face punishement?,NUM,count
Who does Lilly unintentionally kill by swinging a suitcase with a glass slashing him?,HUM,ind
How many man-eating lions show up?,NUM,count
How many zebras did the Colonel capture?,NUM,count
What is Doorks' wifes name?,HUM,ind
What is Howard's title?,HUM,title
"Who moves in with Julius and his girlfriend, Lil?",HUM,ind
"At the end of the story, who do we learn arranged to have Julius killed?",HUM,ind
Who arranged to kill Julius?,HUM,ind
Who is Julius's girlfriend?,HUM,ind
Who was Reardon's wife?,HUM,ind
Who does Charley have sex with?,HUM,ind
Who set up and betrayed Macreedy?,HUM,ind
Who betrays Macreedy in the canyon?,HUM,ind
Who drives Macreedy out of town before the shoot out with Smith?,HUM,ind
How many hostages were a witness to John's will?,NUM,count
Who is Anne and Georges's daughter?,HUM,ind
How many accidents was Maretti involved in prior to the accident that killed Monica?,NUM,count
How many times does Elisabeth reject Erich's proposal?,NUM,count
Who runs over the creature after Ginger is bitten?,HUM,ind
Who does Adam become jealous of?,HUM,ind
How many barrels were emptied?,NUM,count
Who does Joan believe gave her the mission to drive the English from France?,HUM,ind
Who dies by falling into lava?,HUM,ind
"At the end of the book, who does Polly get engaged to?",HUM,ind
Who does Tom get a job with out West to help support his family?,HUM,ind
Who does Polly get engaged to at the end?,HUM,ind
How many stitches did Buford Pusser receive when he was beat up?,NUM,count
What is the percentage of candidates that fail the training course?,NUM,perc
How many children did Steven have?,NUM,count
How many children is Zoe having?,NUM,count
How many fianc����'s has Alice had now?,NUM,count
Which character does Jerry hypnotize in the club?,HUM,ind
How many women does the island chief offer to exchange for Ann?,NUM,count
How many lawyers does Morose consult with?,NUM,count
Who says they had sex with Epicoene?,HUM,ind
Which one of the bais bondsman's employees stole the $10 Million after it was taken from the armored truck?,HUM,ind
What was John Barton's sons name?,HUM,ind
How many sex sessions does Cheryl agree to have with Mark?,NUM,count
How many children does Alcmena have?,NUM,count
How many languages were the remaining clues in?,NUM,count
How many people were killed in the bombing?,NUM,count
How many nieces does John have?,NUM,count
How many lawyers does Morose consult?,NUM,count
How many porridge bowls are there?,NUM,count
How many children did Sethe live with at her home outside of Cincinnati before ghost(poltergaist) scared two of them to run away?,NUM,count
How many marriage proposals are there in one day?,NUM,count
How many men were interested in Fancy?,NUM,count
How old is Elizabeth Ann/Betsy?,NUM,period
Who talks about the difficulty in playing bagpipes?,HUM,ind
How many Blakeston children are there?,NUM,count
How many children does Jim Blakeston have?,NUM,count
How many kids does Ray Eddy have?,NUM,count
How old was Mrs. Weldon's son?,NUM,period
How old is Fabio's daughter?,NUM,period
How many days was Ben in Las Vegas when he invited Sera to his hotel room?,NUM,count
How many times has Alvy been married?,NUM,count
How old is the son of Clarence Mumford?,NUM,period
How many members of the Ryan family were killed in action?,NUM,count
How many people attended Bertha and Harry's dinner party?,NUM,count
How many children does Erin have?,NUM,count
How many acts are in the play?,NUM,count
How many children do Fred and Mary have?,NUM,count
